Resume_ID,Job Role,Skills,Experience (Years),Education,Recruiter Decision,AI Score (0-100),sentiment_score,sentiment_label
44,Data Scientist,"Machine Learning, Python",1,MBA,Hire,70.0,0.0,neutral
45,Data Scientist,"SQL, Python, Machine Learning",4,M.Tech,Hire,95.0,0.0,neutral
46,Software Engineer,"SQL, Java",5,B.Sc,Hire,90.0,0.0,neutral
47,Software Engineer,"SQL, Java, C++, React",4,MBA,Hire,100.0,0.0,neutral
48,Data Scientist,"Python, Machine Learning",8,PhD,Hire,100.0,0.0,neutral
49,Software Engineer,"React, SQL, Java",1,MBA,Hire,80.0,0.0,neutral
50,AI Researcher,"Pytorch, Python",5,B.Tech,Hire,75.0,0.0,neutral
51,AI Researcher,"Python, NLP, TensorFlow, Pytorch",5,PhD,Hire,100.0,0.0,neutral
52,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,Hire,100.0,0.38636000000000004,positive
53,Data Scientist,"SQL, Deep Learning, Machine Learning",1,MBA,Reject,45.0,0.0,neutral
54,Data Scientist,"Python, SQL, Machine Learning",9,B.Sc,Hire,100.0,0.0,neutral
55,Data Scientist,"Python, SQL, Machine Learning",0,B.Tech,Reject,60.0,0.0,neutral
56,Cybersecurity Analyst,"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Reject,55.0,0.38636000000000004,positive
57,Software Engineer,"C++, Java, SQL, React",3,B.Sc,Hire,75.0,0.0,neutral
58,Cybersecurity Analyst,"Networking, Cybersecurity, Ethical Hacking, Linux",1,B.Sc,Reject,55.0,0.38636000000000004,positive
59,AI Researcher,"TensorFlow, Pytorch",2,B.Sc,Reject,35.0,0.0,neutral
60,Software Engineer,"Java, React",6,PhD,Hire,100.0,0.0,neutral
61,AI Researcher,"Python, Pytorch",0,B.Tech,Hire,70.0,0.0,neutral
62,Data Scientist,"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,Hire,100.0,0.0,neutral
63,Data Scientist,"Machine Learning, Deep Learning, Python",9,M.Tech,Hire,100.0,0.0,neutral
64,Software Engineer,"C++, React, Java, SQL",9,M.Tech,Hire,100.0,0.0,neutral
65,Data Scientist,"Deep Learning, Python, Machine Learning, SQL",10,MBA,Hire,100.0,0.0,neutral
66,Software Engineer,"Java, React, C++",1,PhD,Reject,40.0,0.0,neutral
67,Software Engineer,"Java, C++, React, SQL",8,B.Sc,Hire,100.0,0.0,neutral
68,AI Researcher,"Pytorch, Python, TensorFlow, NLP",9,M.Tech,Hire,100.0,0.0,neutral
69,Cybersecurity Analyst,"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Hire,100.0,0.38636000000000004,positive
70,Data Scientist,"SQL, Python, Machine Learning, Deep Learning",1,B.Tech,Reject,45.0,0.0,neutral
71,AI Researcher,"Pytorch, TensorFlow, NLP",8,PhD,Hire,100.0,0.0,neutral
72,Cybersecurity Analyst,"Ethical Hacking, Networking, Linux",0,MBA,Reject,60.0,0.38636000000000004,positive
73,Data Scientist,"Python, SQL, Machine Learning, Deep Learning",0,M.Tech,Reject,60.0,0.0,neutral
74,Software Engineer,"Java, SQL",5,MBA,Hire,100.0,0.0,neutral
75,AI Researcher,"TensorFlow, NLP",9,B.Sc,Hire,100.0,0.0,neutral
76,Software Engineer,"Java, React, SQL, C++",4,B.Tech,Hire,100.0,0.0,neutral
77,Data Scientist,"Python, Machine Learning",0,M.Tech,Reject,20.0,0.0,neutral
78,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,Hire,95.0,0.38636000000000004,positive
79,AI Researcher,"TensorFlow, Python",1,MBA,Reject,50.0,0.0,neutral
80,Data Scientist,"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Hire,100.0,0.0,neutral
81,AI Researcher,"NLP, TensorFlow, Pytorch",7,MBA,Hire,100.0,0.0,neutral
82,Software Engineer,"React, C++",1,PhD,Hire,80.0,0.0,neutral
83,Software Engineer,"C++, Java",9,M.Tech,Hire,100.0,0.0,neutral
84,AI Researcher,"Python, NLP, TensorFlow",10,B.Tech,Hire,100.0,0.0,neutral
85,Software Engineer,"Java, SQL, C++",0,B.Sc,Reject,35.0,0.0,neutral
86,Software Engineer,"Java, React, C++",8,M.Tech,Hire,100.0,0.0,neutral
87,Data Scientist,"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Hire,100.0,0.0,neutral
88,AI Researcher,"Python, Pytorch",7,B.Sc,Hire,100.0,0.0,neutral
89,Software Engineer,"React, SQL, Java",5,PhD,Hire,100.0,0.0,neutral
90,Cybersecurity Analyst,"Linux, Ethical Hacking, Cybersecurity, Networking",10,M.Tech,Hire,100.0,0.38636000000000004,positive
91,AI Researcher,"NLP, TensorFlow",4,MBA,Hire,95.0,0.0,neutral
92,AI Researcher,"Pytorch, TensorFlow, Python",4,MBA,Hire,95.0,0.0,neutral
93,AI Researcher,"TensorFlow, NLP, Pytorch",5,B.Sc,Hire,75.0,0.0,neutral
94,AI Researcher,"NLP, Pytorch",0,B.Sc,Hire,70.0,0.0,neutral
95,Software Engineer,"Java, SQL, C++",9,B.Tech,Hire,100.0,0.0,neutral
96,AI Researcher,"TensorFlow, Pytorch, Python, NLP",1,B.Sc,Reject,60.0,0.0,neutral
97,AI Researcher,"TensorFlow, NLP, Pytorch, Python",4,PhD,Hire,80.0,0.0,neutral
98,AI Researcher,"TensorFlow, Pytorch, NLP, Python",6,B.Tech,Hire,100.0,0.0,neutral
99,Data Scientist,"Python, Deep Learning",6,PhD,Hire,100.0,0.0,neutral
100,Software Engineer,"SQL, Java, React",6,B.Sc,Hire,100.0,0.0,neutral
101,Cybersecurity Analyst,"Linux, Cybersecurity",1,M.Tech,Reject,45.0,0.0,neutral
102,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity",8,B.Tech,Hire,100.0,0.38636000000000004,positive
103,Cybersecurity Analyst,"Ethical Hacking, Networking",2,MBA,Reject,55.0,0.38636000000000004,positive
104,Cybersecurity Analyst,"Ethical Hacking, Networking, Linux",8,PhD,Hire,100.0,0.38636000000000004,positive
105,Software Engineer,"Java, SQL",5,B.Tech,Hire,75.0,0.0,neutral
106,Data Scientist,"Deep Learning, Machine Learning, SQL",7,B.Tech,Hire,100.0,0.0,neutral
107,AI Researcher,"NLP, Python, TensorFlow",9,B.Tech,Hire,100.0,0.0,neutral
108,Data Scientist,"Python, Deep Learning, Machine Learning",2,B.Tech,Reject,55.0,0.0,neutral
109,Data Scientist,"Python, Machine Learning, SQL",4,B.Tech,Hire,85.0,0.0,neutral
110,Cybersecurity Analyst,"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,Hire,100.0,0.38636000000000004,positive
111,Software Engineer,"Java, React",9,B.Tech,Hire,100.0,0.0,neutral
112,Data Scientist,"Machine Learning, SQL, Deep Learning",5,B.Tech,Hire,95.0,0.0,neutral
113,Data Scientist,"SQL, Python, Machine Learning, Deep Learning",3,MBA,Hire,65.0,0.0,neutral
114,AI Researcher,"Pytorch, TensorFlow",0,B.Sc,Reject,35.0,0.0,neutral
115,Software Engineer,"C++, Java",2,MBA,Reject,50.0,0.0,neutral
116,AI Researcher,"NLP, TensorFlow, Pytorch",9,PhD,Hire,100.0,0.0,neutral
117,Cybersecurity Analyst,"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,Hire,100.0,0.38636000000000004,positive
118,Software Engineer,"React, C++, Java",5,PhD,Hire,100.0,0.0,neutral
119,Software Engineer,"React, Java, SQL",4,MBA,Hire,100.0,0.0,neutral
120,Software Engineer,"React, C++, Java, SQL",5,MBA,Hire,100.0,0.0,neutral
121,Software Engineer,"Java, React",6,B.Sc,Hire,80.0,0.0,neutral
122,AI Researcher,"Python, TensorFlow, Pytorch, NLP",4,B.Sc,Hire,80.0,0.0,neutral
123,Cybersecurity Analyst,"Linux, Networking, Cybersecurity, Ethical Hacking",7,PhD,Hire,100.0,0.38636000000000004,positive
124,Software Engineer,"SQL, Java",1,PhD,Hire,75.0,0.0,neutral
125,Software Engineer,"Java, C++, React",6,MBA,Hire,100.0,0.0,neutral
126,Data Scientist,"SQL, Python",9,B.Sc,Hire,100.0,0.0,neutral
127,Data Scientist,"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Hire,100.0,0.0,neutral
128,AI Researcher,"Pytorch, Python",3,MBA,Reject,50.0,0.0,neutral
129,Cybersecurity Analyst,"Linux, Networking, Ethical Hacking, Cybersecurity",8,B.Sc,Hire,100.0,0.38636000000000004,positive
130,AI Researcher,"Python, NLP, Pytorch",3,B.Sc,Reject,55.0,0.0,neutral
131,AI Researcher,"NLP, Python, Pytorch, TensorFlow",1,B.Sc,Reject,60.0,0.0,neutral
132,Software Engineer,"Java, C++, SQL",0,B.Sc,Reject,30.0,0.0,neutral
133,Cybersecurity Analyst,"Ethical Hacking, Networking, Linux, Cybersecurity",8,B.Sc,Hire,100.0,0.38636000000000004,positive
134,Software Engineer,"C++, Java, React, SQL",1,PhD,Reject,30.0,0.0,neutral
135,AI Researcher,"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Hire,100.0,0.0,neutral
136,Cybersecurity Analyst,"Networking, Cybersecurity",7,B.Sc,Hire,80.0,0.0,neutral
137,Cybersecurity Analyst,"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,Hire,80.0,0.38636000000000004,positive
138,Data Scientist,"Machine Learning, Python, SQL",10,M.Tech,Hire,100.0,0.0,neutral
139,Data Scientist,"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,Hire,95.0,0.0,neutral
140,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Hire,65.0,0.38636000000000004,positive
141,Data Scientist,"Deep Learning, Python, SQL",3,B.Sc,Hire,65.0,0.0,neutral
142,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Linux",9,B.Tech,Hire,100.0,0.38636000000000004,positive
143,Data Scientist,"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,Hire,85.0,0.0,neutral
144,Cybersecurity Analyst,"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Hire,100.0,0.38636000000000004,positive
145,AI Researcher,"TensorFlow, Pytorch, Python",5,B.Tech,Hire,100.0,0.0,neutral
146,AI Researcher,"TensorFlow, Pytorch, NLP",10,M.Tech,Hire,100.0,0.0,neutral
147,Data Scientist,"SQL, Python, Deep Learning, Machine Learning",10,PhD,Hire,100.0,0.0,neutral
148,Data Scientist,"Python, Machine Learning",8,PhD,Hire,100.0,0.0,neutral
149,AI Researcher,"TensorFlow, NLP, Pytorch",6,B.Tech,Hire,85.0,0.0,neutral
150,Data Scientist,"Python, Machine Learning",9,B.Sc,Hire,100.0,0.0,neutral
151,Cybersecurity Analyst,"Ethical Hacking, Networking, Linux",3,B.Tech,Hire,90.0,0.38636000000000004,positive
152,Software Engineer,"SQL, React, Java",6,PhD,Hire,100.0,0.0,neutral
153,Data Scientist,"Python, Machine Learning, SQL, Deep Learning",7,PhD,Hire,100.0,0.0,neutral
154,Data Scientist,"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Hire,100.0,0.0,neutral
155,Cybersecurity Analyst,"Ethical Hacking, Linux, Cybersecurity",5,MBA,Hire,100.0,0.38636000000000004,positive
156,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,Hire,90.0,0.38636000000000004,positive
157,Cybersecurity Analyst,"Linux, Ethical Hacking, Networking, Cybersecurity",6,B.Sc,Hire,100.0,0.38636000000000004,positive
158,AI Researcher,"Pytorch, TensorFlow, Python",2,PhD,Reject,40.0,0.0,neutral
159,Cybersecurity Analyst,"Ethical Hacking, Linux",6,B.Sc,Hire,100.0,0.38636000000000004,positive
160,Cybersecurity Analyst,"Cybersecurity, Linux",2,MBA,Reject,45.0,0.0,neutral
161,Data Scientist,"SQL, Machine Learning",3,PhD,Hire,95.0,0.0,neutral
162,Data Scientist,"SQL, Machine Learning",5,M.Tech,Hire,100.0,0.0,neutral
163,Cybersecurity Analyst,"Linux, Cybersecurity",5,M.Tech,Hire,100.0,0.0,neutral
164,AI Researcher,"TensorFlow, NLP, Python",1,M.Tech,Reject,35.0,0.0,neutral
165,Cybersecurity Analyst,"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Hire,100.0,0.38636000000000004,positive
166,Data Scientist,"Deep Learning, SQL",2,PhD,Reject,45.0,0.0,neutral
167,AI Researcher,"Pytorch, NLP, Python",3,M.Tech,Hire,85.0,0.0,neutral
168,Cybersecurity Analyst,"Networking, Cybersecurity, Ethical Hacking",2,B.Sc,Hire,80.0,0.38636000000000004,positive
169,Software Engineer,"Java, C++, React, SQL",9,B.Sc,Hire,100.0,0.0,neutral
170,Data Scientist,"Python, Machine Learning",7,M.Tech,Hire,80.0,0.0,neutral
171,Cybersecurity Analyst,"Networking, Ethical Hacking, Cybersecurity",8,MBA,Hire,100.0,0.38636000000000004,positive
172,Data Scientist,"Deep Learning, SQL, Python",3,B.Sc,Hire,85.0,0.0,neutral
173,Software Engineer,"React, SQL, C++",3,B.Tech,Hire,80.0,0.0,neutral
174,Data Scientist,"SQL, Python",9,PhD,Hire,100.0,0.0,neutral
175,Data Scientist,"Machine Learning, Deep Learning, Python, SQL",6,MBA,Hire,100.0,0.0,neutral
176,Data Scientist,"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Hire,100.0,0.0,neutral
177,Software Engineer,"C++, React",1,MBA,Reject,35.0,0.0,neutral
178,Data Scientist,"SQL, Deep Learning, Python, Machine Learning",8,B.Sc,Hire,100.0,0.0,neutral
179,AI Researcher,"Pytorch, TensorFlow",3,MBA,Hire,75.0,0.0,neutral
180,Cybersecurity Analyst,"Networking, Cybersecurity, Ethical Hacking",8,MBA,Hire,100.0,0.38636000000000004,positive
181,Software Engineer,"Java, React",6,PhD,Hire,100.0,0.0,neutral
182,Data Scientist,"Machine Learning, Deep Learning, SQL, Python",1,PhD,Hire,65.0,0.0,neutral
183,AI Researcher,"Pytorch, NLP",0,B.Sc,Reject,45.0,0.0,neutral
184,Data Scientist,"SQL, Deep Learning, Python",5,PhD,Hire,80.0,0.0,neutral
185,Software Engineer,"React, Java, C++, SQL",7,M.Tech,Hire,100.0,0.0,neutral
186,Software Engineer,"Java, C++, React, SQL",5,MBA,Hire,100.0,0.0,neutral
187,AI Researcher,"Pytorch, Python",0,B.Sc,Reject,55.0,0.0,neutral
188,AI Researcher,"NLP, TensorFlow, Python",0,MBA,Reject,40.0,0.0,neutral
189,Data Scientist,"SQL, Python, Machine Learning, Deep Learning",3,M.Tech,Hire,85.0,0.0,neutral
190,Software Engineer,"React, SQL, Java, C++",1,PhD,Hire,65.0,0.0,neutral
191,Cybersecurity Analyst,"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Hire,100.0,0.38636000000000004,positive
192,Cybersecurity Analyst,"Linux, Ethical Hacking",1,PhD,Reject,45.0,0.38636000000000004,positive
193,AI Researcher,"TensorFlow, NLP, Python",3,MBA,Hire,100.0,0.0,neutral
194,Data Scientist,"Machine Learning, SQL, Python",10,PhD,Hire,100.0,0.0,neutral
195,AI Researcher,"Pytorch, Python, TensorFlow, NLP",9,B.Sc,Hire,100.0,0.0,neutral
196,AI Researcher,"Pytorch, Python",7,B.Tech,Hire,100.0,0.0,neutral
197,Data Scientist,"Python, Deep Learning",8,PhD,Hire,100.0,0.0,neutral
198,Software Engineer,"C++, SQL, Java",1,PhD,Hire,70.0,0.0,neutral
199,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity, Linux",3,M.Tech,Reject,55.0,0.38636000000000004,positive
200,AI Researcher,"Python, TensorFlow",1,B.Sc,Reject,50.0,0.0,neutral
201,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Hire,100.0,0.38636000000000004,positive
202,AI Researcher,"TensorFlow, NLP",6,PhD,Hire,85.0,0.0,neutral
203,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity, Networking",8,B.Tech,Hire,95.0,0.38636000000000004,positive
204,AI Researcher,"NLP, Python, TensorFlow",1,PhD,Hire,70.0,0.0,neutral
205,Software Engineer,"Java, C++",9,MBA,Hire,100.0,0.0,neutral
206,AI Researcher,"NLP, Pytorch, Python, TensorFlow",10,B.Sc,Hire,100.0,0.0,neutral
207,Cybersecurity Analyst,"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,Hire,100.0,0.38636000000000004,positive
208,Software Engineer,"C++, React",2,B.Sc,Hire,65.0,0.0,neutral
209,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Hire,70.0,0.38636000000000004,positive
210,AI Researcher,"Python, NLP, TensorFlow",2,M.Tech,Hire,65.0,0.0,neutral
211,Data Scientist,"Machine Learning, Python, Deep Learning",3,B.Tech,Hire,75.0,0.0,neutral
212,Cybersecurity Analyst,"Networking, Linux, Ethical Hacking",7,B.Tech,Hire,100.0,0.38636000000000004,positive
213,Software Engineer,"C++, SQL",2,MBA,Reject,45.0,0.0,neutral
214,Software Engineer,"SQL, Java",1,B.Tech,Hire,65.0,0.0,neutral
215,AI Researcher,"TensorFlow, Python, NLP",3,B.Tech,Reject,60.0,0.0,neutral
216,Cybersecurity Analyst,"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,Hire,100.0,0.38636000000000004,positive
217,Data Scientist,"SQL, Deep Learning, Python, Machine Learning",7,B.Sc,Hire,100.0,0.0,neutral
218,AI Researcher,"TensorFlow, Python, NLP, Pytorch",8,MBA,Hire,100.0,0.0,neutral
219,Cybersecurity Analyst,"Linux, Networking, Cybersecurity, Ethical Hacking",1,B.Sc,Hire,80.0,0.38636000000000004,positive
220,AI Researcher,"Pytorch, TensorFlow, Python, NLP",10,PhD,Hire,100.0,0.0,neutral
221,Cybersecurity Analyst,"Cybersecurity, Linux",9,PhD,Hire,100.0,0.0,neutral
222,AI Researcher,"Python, NLP",1,M.Tech,Reject,35.0,0.0,neutral
223,AI Researcher,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Hire,100.0,0.0,neutral
224,Software Engineer,"Java, SQL",8,M.Tech,Hire,100.0,0.0,neutral
225,Cybersecurity Analyst,"Linux, Ethical Hacking, Cybersecurity",4,PhD,Hire,70.0,0.38636000000000004,positive
226,Cybersecurity Analyst,"Cybersecurity, Networking",1,B.Tech,Reject,60.0,0.0,neutral
227,Data Scientist,"Python, Deep Learning, Machine Learning",2,B.Tech,Hire,65.0,0.0,neutral
228,Cybersecurity Analyst,"Linux, Networking, Ethical Hacking",7,B.Sc,Hire,100.0,0.38636000000000004,positive
229,AI Researcher,"Python, Pytorch",3,PhD,Hire,90.0,0.0,neutral
230,Cybersecurity Analyst,"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,Hire,95.0,0.38636000000000004,positive
231,AI Researcher,"Python, NLP, Pytorch",1,MBA,Reject,40.0,0.0,neutral
232,Software Engineer,"React, C++, Java, SQL",0,M.Tech,Hire,70.0,0.0,neutral
233,Data Scientist,"Deep Learning, Python",3,MBA,Hire,70.0,0.0,neutral
234,Software Engineer,"SQL, Java, C++, React",9,M.Tech,Hire,100.0,0.0,neutral
235,Cybersecurity Analyst,"Cybersecurity, Linux, Networking",0,MBA,Reject,60.0,0.0,neutral
236,Software Engineer,"React, SQL",7,B.Tech,Hire,90.0,0.0,neutral
237,Cybersecurity Analyst,"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Hire,80.0,0.38636000000000004,positive
238,Data Scientist,"Python, Deep Learning",5,B.Tech,Hire,75.0,0.0,neutral
239,AI Researcher,"Python, TensorFlow, NLP, Pytorch",8,PhD,Hire,100.0,0.0,neutral
240,Data Scientist,"Deep Learning, SQL",1,M.Tech,Reject,50.0,0.0,neutral
241,Cybersecurity Analyst,"Linux, Ethical Hacking",10,MBA,Hire,100.0,0.38636000000000004,positive
242,Data Scientist,"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,Hire,100.0,0.0,neutral
243,Software Engineer,"C++, SQL, React",8,B.Tech,Hire,100.0,0.0,neutral
244,Cybersecurity Analyst,"Linux, Networking",0,B.Tech,Reject,50.0,0.0,neutral
245,AI Researcher,"NLP, Pytorch",2,B.Sc,Hire,80.0,0.0,neutral
246,Data Scientist,"Deep Learning, Python, SQL",2,B.Sc,Hire,85.0,0.0,neutral
247,Cybersecurity Analyst,"Cybersecurity, Ethical Hacking, Linux",7,MBA,Hire,100.0,0.38636000000000004,positive
248,Data Scientist,"Deep Learning, Machine Learning, SQL",5,B.Sc,Hire,95.0,0.0,neutral
249,Software Engineer,"SQL, Java, React, C++",4,MBA,Hire,95.0,0.0,neutral
250,Software Engineer,"React, Java",2,MBA,Hire,80.0,0.0,neutral
251,AI Researcher,"Python, NLP, TensorFlow, Pytorch",9,B.Tech,Hire,100.0,0.0,neutral
252,AI Researcher,"Pytorch, NLP, TensorFlow, Python",7,M.Tech,Hire,100.0,0.0,neutral
253,AI Researcher,"TensorFlow, Python, Pytorch",8,PhD,Hire,100.0,0.0,neutral
254,Data Scientist,"SQL, Machine Learning",2,B.Tech,Reject,40.0,0.0,neutral
255,Software Engineer,"React, C++, SQL, Java",7,MBA,Hire,100.0,0.0,neutral
256,AI Researcher,"NLP, Pytorch, TensorFlow",6,B.Tech,Hire,100.0,0.0,neutral
257,Software Engineer,"Java, C++, React",9,M.Tech,Hire,100.0,0.0,neutral
258,Cybersecurity Analyst,"Cybersecurity, Linux",8,B.Sc,Hire,100.0,0.0,neutral
259,Data Scientist,"SQL, Machine Learning, Deep Learning",0,B.Tech,Reject,35.0,0.0,neutral
260,AI Researcher,"TensorFlow, Pytorch, Python",8,B.Tech,Hire,100.0,0.0,neutral
261,AI Researcher,"Python, Pytorch",7,B.Sc,Hire,100.0,0.0,neutral
262,Cybersecurity Analyst,"Ethical Hacking, Linux, Networking",1,PhD,Hire,85.0,0.38636000000000004,positive
263,AI Researcher,"TensorFlow, NLP",10,B.Sc,Hire,100.0,0.0,neutral
264,AI Researcher,"Python, TensorFlow",0,M.Tech,Reject,25.0,0.0,neutral
265,AI Researcher,"NLP, Python, Pytorch",1,MBA,Reject,35.0,0.0,neutral
266,AI Researcher,"NLP, TensorFlow",7,MBA,Hire,95.0,0.0,neutral
267,Cybersecurity Analyst,"Networking, Ethical Hacking",0,M.Tech,Reject,45.0,0.38636000000000004,positive
268,Software Engineer,"SQL, React",10,B.Tech,Hire,100.0,0.0,neutral
269,Data Scientist,"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Hire,100.0,0.0,neutral
270,Cybersecurity Analyst,"Cybersecurity, Linux, Networking, Ethical Hacking",9,PhD,Hire,100.0,0.38636000000000004,positive
271,Data Scientist,"Machine Learning, SQL, Python",0,PhD,Reject,60.0,0.0,neutral
272,Cybersecurity Analyst,"Ethical Hacking, Cybersecurity",0,B.Sc,Reject,50.0,0.38636000000000004,positive
273,Cybersecurity Analyst,"Linux, Cybersecurity",2,PhD,Reject,45.0,0.0,neutral
274,AI Researcher,"NLP, Pytorch, Python",8,MBA,Hire,100.0,0.0,neutral
275,Cybersecurity Analyst,"Networking, Linux",3,M.Tech,Hire,85.0,0.0,neutral
276,AI Researcher,"NLP, TensorFlow",7,PhD,Hire,90.0,0.0,neutral
277,Data Scientist,"Deep Learning, Machine Learning, Python",3,MBA,Reject,60.0,0.0,neutral
